iter	Logloss
0	0.6729757567
1	0.6562760328
2	0.6395236353
3	0.6233798402
4	0.6087525214
5	0.5948409115
6	0.5830737113
7	0.5709112824
8	0.5594728573
9	0.5497703401
10	0.541039991
11	0.5318797317
12	0.5235340011
13	0.5156205162
14	0.5081406752
15	0.5013732055
16	0.4951580474
17	0.4890827695
18	0.4834205468
19	0.477842408
20	0.4727065576
21	0.4680573379
22	0.4632003525
23	0.4587529602
24	0.4550922143
25	0.450590558
26	0.4471752062
27	0.4436783524
28	0.4400731036
29	0.4365345131
30	0.4331261914
31	0.43043695
32	0.4273908217
33	0.424166957
34	0.4218342113
35	0.4188304941
36	0.4162892541
37	0.413466277
38	0.4111672304
39	0.4088897162
40	0.4062430739
41	0.4040565369
42	0.4020058883
43	0.3996749552
44	0.3979403761
45	0.3959460063
46	0.3939791957
47	0.3923226306
48	0.390548286
49	0.3891302931
50	0.3875073358
51	0.3859448434
52	0.3845124365
53	0.3830685721
54	0.381679708
55	0.380312263
56	0.3787361662
57	0.377268228
58	0.3757163543
59	0.3744401452
60	0.3731197873
61	0.3718352484
62	0.370625647
63	0.3691385708
64	0.367918322
65	0.366672586
66	0.3654222819
67	0.3642046447
68	0.3629399978
69	0.3616277307
70	0.3602207461
71	0.3587512826
72	0.3576859293
73	0.356623458
74	0.355692818
75	0.3546845602
76	0.3535716826
77	0.3526008288
78	0.3515578336
79	0.3504398282
80	0.3493873371
81	0.3483601372
82	0.347424011
83	0.3464205581
84	0.3454224754
85	0.3443767227
86	0.3436122967
87	0.3426723829
88	0.3417464063
89	0.3409094996
90	0.3400039716
91	0.3391251936
92	0.3381045462
93	0.3370891262
94	0.3361813678
95	0.3351931226
96	0.3344477374
97	0.333570738
98	0.3324268035
99	0.3315110585
100	0.3307459828
101	0.3298114013
102	0.3288863933
103	0.3279856968
104	0.3271031814
105	0.3262154679
106	0.3254204713
107	0.324546074
108	0.323871206
109	0.3226779527
110	0.3220161846
111	0.3213784154
112	0.3206703942
113	0.3198324949
114	0.3190143318
115	0.3179366823
116	0.317229554
117	0.3164673835
118	0.3156531012
119	0.3149244802
