iter	Passed	Remaining
0	7	7535
1	19	9656
2	27	9163
3	36	9152
4	49	9928
5	62	10386
6	78	11120
7	88	11019
8	98	10791
9	113	11279
10	128	11511
11	138	11418
12	149	11340
13	159	11237
14	172	11294
15	182	11238
16	196	11386
17	207	11302
18	221	11411
19	231	11356
20	244	11390
21	257	11428
22	269	11433
23	280	11390
24	289	11287
25	304	11415
26	318	11461
27	327	11354
28	338	11330
29	347	11232
30	357	11159
31	368	11162
32	377	11071
33	387	11023
34	397	10953
35	405	10870
36	415	10818
37	425	10782
38	434	10711
39	443	10646
40	451	10567
41	461	10522
42	469	10454
43	483	10515
44	497	10563
45	508	10538
46	519	10528
47	530	10528
48	540	10485
49	550	10465
50	562	10471
51	571	10418
52	581	10397
53	593	10389
54	602	10345
55	614	10356
56	625	10346
57	637	10361
58	655	10449
59	664	10408
60	677	10432
61	691	10462
62	702	10442
63	712	10419
64	723	10409
65	734	10397
66	748	10424
67	762	10445
68	776	10470
69	793	10539
70	805	10535
71	815	10507
72	826	10494
73	837	10481
74	847	10456
75	857	10424
76	868	10413
77	884	10455
78	895	10434
79	907	10438
80	919	10433
81	928	10397
82	940	10386
83	950	10363
84	958	10321
85	972	10332
86	984	10328
87	1003	10397
88	1016	10406
89	1029	10413
90	1041	10403
91	1052	10390
92	1063	10372
93	1072	10336
94	1081	10301
95	1093	10292
96	1110	10338
97	1123	10339
98	1137	10352
99	1149	10341
100	1158	10312
101	1170	10308
102	1183	10309
103	1195	10300
104	1203	10260
105	1218	10279
106	1230	10269
107	1242	10266
108	1253	10244
109	1263	10218
110	1277	10231
111	1289	10220
112	1298	10195
113	1308	10168
114	1319	10154
115	1328	10126
116	1338	10101
117	1348	10082
118	1360	10070
119	1371	10054
120	1382	10045
121	1396	10052
122	1415	10089
123	1432	10117
124	1444	10112
125	1456	10099
126	1471	10115
127	1487	10135
128	1505	10163
129	1520	10174
130	1534	10176
131	1550	10198
132	1564	10200
133	1577	10193
134	1586	10168
135	1597	10151
136	1611	10149
137	1622	10133
138	1631	10108
139	1641	10084
140	1652	10067
141	1663	10048
142	1671	10015
143	1681	9996
144	1692	9977
145	1702	9960
146	1712	9934
147	1723	9919
148	1733	9903
149	1744	9886
150	1755	9871
151	1765	9850
152	1775	9830
153	1785	9807
154	1795	9790
155	1808	9782
156	1818	9761
157	1829	9748
158	1840	9733
159	1852	9726
160	1864	9715
161	1873	9693
162	1885	9681
163	1897	9672
164	1906	9649
165	1917	9632
166	1929	9624
167	1938	9601
168	1949	9584
169	1963	9586
170	1975	9576
171	1987	9566
172	1998	9551
173	2009	9539
174	2019	9522
175	2028	9498
176	2040	9487
177	2048	9461
178	2060	9451
179	2069	9429
180	2080	9412
181	2093	9408
182	2105	9400
183	2114	9376
184	2123	9356
185	2133	9335
186	2144	9321
187	2156	9316
188	2167	9299
189	2176	9279
190	2188	9268
191	2199	9257
192	2208	9233
193	2220	9226
194	2230	9207
195	2240	9188
196	2253	9183
197	2262	9166
198	2275	9158
199	2287	9151
200	2298	9136
201	2308	9118
202	2320	9108
203	2331	9099
204	2340	9078
205	2350	9061
206	2362	9050
207	2369	9022
208	2383	9019
209	2393	9003
210	2401	8979
211	2412	8967
212	2421	8948
213	2432	8935
214	2443	8921
215	2454	8910
216	2464	8891
217	2475	8880
218	2490	8883
219	2500	8865
220	2512	8855
221	2525	8851
222	2536	8838
223	2546	8823
224	2556	8805
225	2565	8785
226	2577	8776
227	2588	8763
228	2597	8745
229	2607	8727
230	2617	8712
231	2626	8693
232	2637	8681
233	2648	8669
234	2657	8650
235	2667	8634
236	2675	8614
